,remove,pm_key,pm_id,related_key,related_id,related_type,updated_time,updated_status,fix_version,labels,5.2_candidate,5.7_candidate,5.8_candidate,Cloud_JSX,Customer_Priority,DDB,Design_Implementation,DevExperience,Enablement,Features,JSX,JSXSquad,Milestone1,Milestone2,Perf_Lists,Perf_Screen_Transition,Perf_Start_Time,Performance,Performance_Squad,Platform,Platforms,Product_Performance,Product_Solutions,Q4_2019_candidate_feature,RNCloud,RN_Upgrade,ReactNative,Services_Priority,Workflow,debugging,dep_core,installer,jira_escalated
16,0,PM-169,87020,CS-2611,79502,Story,2019-01-02T10:38:35.976-0500,To Do,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,PM-169,87020,CS-2611,79502,Story,2018-12-18T10:40:54.109-0500,In Progress,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,PM-169,87020,CS-2611,79502,Story,2018-11-30T15:57:49.011-0500,To Do,[],['Milestone2'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,PM-167,77041,RN-72,73254,Story,2018-01-25T12:42:11.239-0500,Blocked,[],"['JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,PM-167,77041,RN-72,73254,Story,2018-01-25T11:13:46.183-0500,In Progress,[],"['JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,PM-157,85448,RN-73,73255,Story,2019-07-17T10:11:04.016-0400,Closed,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,0,PM-157,85448,RN-73,73255,Story,2019-07-17T09:23:43.614-0400,Verified,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,0,PM-157,85448,RN-73,73255,Story,2019-07-16T16:29:51.377-0400,Documentation,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,0,PM-157,85448,RN-73,73255,Story,2019-07-16T11:09:06.829-0400,Test,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,0,PM-157,85448,RN-73,73255,Story,2019-07-16T09:30:02.004-0400,Documentation,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
