0,PM-183,87712,PM-76,76380,Feature,2019-06-04T15:25:47.944-0400,Backlog,"[['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2']]"
0,PM-183,87712,PM-76,76380,Feature,2019-06-04T14:43:13.715-0400,Open,"[['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2']]"
0,PM-183,87712,PM-76,76380,Feature,2019-05-16T08:17:25.712-0400,Backlog,"[['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2']]"
0,PM-183,87712,PM-167,77041,Investigation,2019-08-14T09:19:00.506-0400,Backlog,"[['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2']]"
0,PM-183,87712,PM-151,77032,Investigation,2019-08-07T10:27:31.633-0400,Backlog,"[['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2']]"
0,PM-183,87712,RN-2157,87228,Epic,2019-08-26T08:01:30.710-0400,To Do,"[['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2']]"
0,PM-178,79532,TWITCH-3,66822,Story,2018-05-23T16:58:29.283-0400,To Do,[[]]
0,PM-169,87020,CS-3511,87526,Story,2019-09-06T14:04:04.953-0400,Closed,"[['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2'], ['Milestone2']]"
0,PM-167,77041,RN-72,73254,Story,2018-01-25T12:42:11.239-0500,Blocked,"[['JSX', 'JSXSquad', 'Milestone2'], ['JSX', 'JSXSquad', 'Milestone2']]"
0,PM-167,77041,RN-72,73254,Story,2018-01-25T11:13:46.183-0500,In Progress,"[['JSX', 'JSXSquad', 'Milestone2'], ['JSX', 'JSXSquad', 'Milestone2']]"
