,issue_key,issue_type,time,updated_status
474,US-10415,Bug,2019-09-16T14:16:26.471-0400,Test
473,US-10415,Bug,2019-09-17T15:07:33.466-0400,Verified
472,US-10415,Bug,2019-09-18T13:18:46.732-0400,Closed
466,US-10414,Technical Story,2019-09-10T17:23:36.529-0400,Closed
467,US-10414,Technical Story,2019-09-10T17:23:20.499-0400,Verified
468,US-10414,Technical Story,2019-09-10T14:54:40.726-0400,Documentation
470,US-10414,Technical Story,2019-09-10T10:10:32.006-0400,Doing
471,US-10414,Technical Story,2019-09-10T10:10:29.175-0400,To Do
469,US-10414,Technical Story,2019-09-10T10:10:34.962-0400,Test
465,US-10404,Story,2019-09-11T14:44:29.699-0400,To Do
464,US-10404,Story,2019-09-11T14:44:36.319-0400,Doing
463,US-10404,Story,2019-09-19T10:55:47.870-0400,Test
462,US-10404,Story,2019-09-20T10:31:32.334-0400,Verified
461,US-10404,Story,2019-09-20T11:01:19.198-0400,Closed
460,US-10398,Technical Story,2019-09-05T16:37:44.802-0400,To Do
459,US-10398,Technical Story,2019-09-13T10:15:54.692-0400,Doing
458,US-10398,Technical Story,2019-09-17T16:05:54.615-0400,Closed
454,US-10396,Story,2019-09-05T16:08:57.454-0400,Closed
456,US-10396,Story,2019-09-05T14:13:52.476-0400,Doing
455,US-10396,Story,2019-09-05T16:08:40.969-0400,Test
457,US-10396,Story,2019-09-05T14:10:44.316-0400,To Do
452,US-10387,Bug,2019-09-11T13:16:55.311-0400,Doing
450,US-10387,Bug,2019-09-18T17:33:55.989-0400,Verified
449,US-10387,Bug,2019-09-19T09:14:21.628-0400,Closed
448,US-10387,Bug,2019-09-24T11:38:10.214-0400,Open
447,US-10387,Bug,2019-09-24T11:38:15.242-0400,To Do
446,US-10387,Bug,2019-09-24T11:38:17.855-0400,Doing
445,US-10387,Bug,2019-09-24T12:01:33.609-0400,Test
444,US-10387,Bug,2019-09-24T14:43:43.902-0400,Verified
443,US-10387,Bug,2019-09-24T14:45:51.719-0400,Closed
453,US-10387,Bug,2019-09-03T11:33:51.428-0400,To Do
451,US-10387,Bug,2019-09-17T09:21:42.420-0400,Test
439,US-10382,Story,2019-09-10T10:45:44.489-0400,Verified
438,US-10382,Story,2019-09-10T10:46:01.660-0400,Closed
441,US-10382,Story,2019-08-27T20:26:24.319-0400,Doing
440,US-10382,Story,2019-09-10T10:45:38.504-0400,Test
442,US-10382,Story,2019-08-27T20:26:20.490-0400,To Do
437,US-10378,Bug,2019-09-03T11:45:47.248-0400,To Do
436,US-10378,Bug,2019-09-03T16:24:47.271-0400,Doing
435,US-10378,Bug,2019-09-11T09:51:04.936-0400,Test
434,US-10378,Bug,2019-09-16T13:02:36.087-0400,Verified
433,US-10378,Bug,2019-09-16T14:48:20.714-0400,Closed
425,US-10371,Bug,2019-09-10T11:13:07.060-0400,Closed
427,US-10371,Bug,2019-09-09T09:03:01.375-0400,Test
426,US-10371,Bug,2019-09-10T07:27:54.988-0400,Verified
429,US-10371,Bug,2019-09-09T07:06:30.453-0400,Blocked
428,US-10371,Bug,2019-09-09T09:02:57.892-0400,Doing
430,US-10371,Bug,2019-09-06T12:43:43.318-0400,Test
432,US-10371,Bug,2019-08-27T09:53:13.979-0400,To Do
431,US-10371,Bug,2019-08-27T09:53:17.916-0400,Doing
424,US-10364,Story,2019-09-04T09:18:00.282-0400,To Do
423,US-10364,Story,2019-09-04T09:18:03.210-0400,Doing
422,US-10364,Story,2019-09-04T14:08:28.502-0400,Test
421,US-10364,Story,2019-09-04T14:08:31.429-0400,Documentation
420,US-10364,Story,2019-09-04T16:27:05.651-0400,Verified
419,US-10364,Story,2019-09-05T14:32:05.304-0400,Closed
414,US-10360,Bug,2019-08-29T15:56:45.184-0400,Test
412,US-10360,Bug,2019-09-05T10:36:29.075-0400,Closed
413,US-10360,Bug,2019-09-04T12:38:28.599-0400,Verified
415,US-10360,Bug,2019-08-29T09:02:39.769-0400,Doing
417,US-10360,Bug,2019-08-28T09:25:29.229-0400,Doing
416,US-10360,Bug,2019-08-28T09:35:10.665-0400,To Do
418,US-10360,Bug,2019-08-28T09:25:25.278-0400,To Do
411,US-10358,Spike,2019-08-29T12:10:55.016-0400,To Do
410,US-10358,Spike,2019-08-29T12:11:01.239-0400,Doing
409,US-10358,Spike,2019-09-09T17:15:23.376-0400,Test
408,US-10358,Spike,2019-09-09T17:15:32.474-0400,Documentation
407,US-10358,Spike,2019-09-11T11:50:21.498-0400,Verified
406,US-10358,Spike,2019-09-11T12:22:24.933-0400,Closed
401,US-10355,Technical Story,2019-09-06T16:26:02.025-0400,Test
399,US-10355,Technical Story,2019-09-20T09:45:27.448-0400,Closed
400,US-10355,Technical Story,2019-09-19T10:37:24.202-0400,Verified
405,US-10355,Technical Story,2019-08-22T14:21:58.766-0400,To Do
402,US-10355,Technical Story,2019-08-23T11:34:49.765-0400,Doing
403,US-10355,Technical Story,2019-08-22T14:24:30.742-0400,To Do
404,US-10355,Technical Story,2019-08-22T14:22:05.526-0400,Doing
394,US-10347,Story,2019-09-09T15:03:24.430-0400,Verified
393,US-10347,Story,2019-09-10T09:12:00.676-0400,Closed
398,US-10347,Story,2019-08-15T10:33:25.837-0400,To Do
395,US-10347,Story,2019-09-09T14:16:35.125-0400,Documentation
396,US-10347,Story,2019-09-06T09:35:54.744-0400,Test
397,US-10347,Story,2019-08-15T10:33:30.942-0400,Doing
392,US-10341,Bug,2019-08-08T11:26:13.395-0400,To Do
391,US-10341,Bug,2019-08-08T11:26:17.409-0400,Doing
390,US-10341,Bug,2019-08-28T14:56:04.856-0400,Test
389,US-10341,Bug,2019-08-28T14:56:16.380-0400,Closed
388,US-10337,Epic,2019-08-07T16:46:42.592-0400,To Do
387,US-10337,Epic,2019-08-19T14:19:09.053-0400,Doing
386,US-10337,Epic,2019-09-06T13:38:25.378-0400,Closed
382,US-10334,Story,2019-09-12T13:53:26.588-0400,Documentation
381,US-10334,Story,2019-09-13T10:12:35.582-0400,Closed
385,US-10334,Story,2019-09-05T14:25:27.254-0400,To Do
383,US-10334,Story,2019-09-12T13:53:23.306-0400,Test
384,US-10334,Story,2019-09-05T14:25:31.760-0400,Doing
379,US-10333,Story,2019-08-28T14:46:15.622-0400,Doing
378,US-10333,Story,2019-08-30T09:42:02.807-0400,Test
377,US-10333,Story,2019-08-30T09:42:08.058-0400,Verified
376,US-10333,Story,2019-08-30T09:42:16.819-0400,Closed
380,US-10333,Story,2019-08-28T14:46:10.874-0400,To Do
375,US-10332,Story,2019-08-23T09:49:08.317-0400,To Do
374,US-10332,Story,2019-08-23T09:49:13.255-0400,Doing
373,US-10332,Story,2019-08-29T11:49:33.292-0400,Test
372,US-10332,Story,2019-08-29T11:49:40.642-0400,Verified
371,US-10332,Story,2019-08-29T11:50:03.297-0400,Closed
367,US-10309,Story,2019-09-05T09:56:34.566-0400,Verified
366,US-10309,Story,2019-09-05T09:56:46.222-0400,Closed
368,US-10309,Story,2019-09-05T09:56:24.093-0400,Test
369,US-10309,Story,2019-08-29T11:56:24.293-0400,Doing
370,US-10309,Story,2019-08-29T11:56:20.380-0400,To Do
365,US-10308,Story,2019-08-29T14:43:25.201-0400,To Do
364,US-10308,Story,2019-08-29T14:43:30.006-0400,Doing
363,US-10308,Story,2019-09-05T15:03:09.185-0400,Test
362,US-10308,Story,2019-09-05T15:03:24.559-0400,Closed
361,US-10299,Story,2019-09-10T10:37:15.939-0400,To Do
360,US-10299,Story,2019-09-10T10:37:20.564-0400,Doing
359,US-10299,Story,2019-09-13T16:19:09.974-0400,Closed
355,US-10297,Bug,2019-09-11T14:47:05.836-0400,Verified
354,US-10297,Bug,2019-09-11T15:05:18.515-0400,Closed
357,US-10297,Bug,2019-09-10T13:09:36.081-0400,Doing
356,US-10297,Bug,2019-09-10T14:01:04.716-0400,Test
358,US-10297,Bug,2019-08-22T15:05:29.867-0400,To Do
353,US-10277,Spike,2019-09-05T10:38:09.527-0400,To Do
351,US-10277,Spike,2019-09-06T10:05:00.425-0400,Closed
352,US-10277,Spike,2019-09-05T10:38:16.900-0400,Doing
350,US-10275,Epic,2019-08-22T16:05:52.536-0400,To Do
348,US-10275,Epic,2019-09-23T09:32:17.116-0400,Closed
349,US-10275,Epic,2019-08-22T16:05:56.768-0400,Doing
347,US-10248,Bug,2019-08-22T15:05:31.046-0400,To Do
346,US-10248,Bug,2019-08-29T15:49:04.911-0400,Doing
345,US-10248,Bug,2019-08-29T15:49:08.982-0400,Test
344,US-10248,Bug,2019-09-03T08:30:57.022-0400,Documentation
343,US-10248,Bug,2019-09-03T09:36:53.009-0400,Verified
342,US-10248,Bug,2019-09-03T09:39:22.187-0400,Closed
337,US-10243,Story,2019-08-27T15:39:23.704-0400,Doing
334,US-10243,Story,2019-09-11T14:48:31.096-0400,Closed
335,US-10243,Story,2019-09-11T13:51:10.659-0400,Verified
336,US-10243,Story,2019-08-28T09:33:22.495-0400,Test
338,US-10243,Story,2019-08-26T11:24:07.259-0400,To Do
339,US-10243,Story,2019-08-22T14:38:50.258-0400,Doing
340,US-10243,Story,2019-07-17T13:37:50.444-0400,Blocked
341,US-10243,Story,2019-07-17T13:37:48.909-0400,To Do
333,US-10171,Story,2019-08-14T19:59:59.696-0400,To Do
332,US-10171,Story,2019-08-14T20:19:23.539-0400,Doing
331,US-10171,Story,2019-08-16T14:22:50.862-0400,Test
330,US-10171,Story,2019-08-20T08:42:40.983-0400,Blocked
329,US-10171,Story,2019-08-20T10:11:37.990-0400,Doing
328,US-10171,Story,2019-08-20T10:11:41.039-0400,Test
