,issue_key,issue_type,time,updated_status
153,CS-3451,Bug,2019-09-09T11:37:49.774-0400,Test
154,CS-3451,Bug,2019-09-09T08:38:39.130-0400,Doing
149,CS-3435,Bug,2019-08-27T08:29:52.061-0400,Doing
147,CS-3435,Bug,2019-08-27T11:06:53.477-0400,Doing
146,CS-3435,Bug,2019-08-27T11:06:56.617-0400,To Do
145,CS-3435,Bug,2019-08-28T09:57:02.796-0400,Doing
144,CS-3435,Bug,2019-08-29T13:26:22.790-0400,Test
143,CS-3435,Bug,2019-09-04T12:26:17.098-0400,Verified
142,CS-3435,Bug,2019-09-16T10:17:06.549-0400,Closed
150,CS-3435,Bug,2019-08-27T08:29:45.855-0400,To Do
148,CS-3435,Bug,2019-08-27T08:29:59.473-0400,Test
141,CS-3428,Story,2019-08-29T15:15:38.012-0400,To Do
140,CS-3428,Story,2019-08-29T15:15:42.100-0400,Doing
139,CS-3428,Story,2019-09-23T11:19:28.928-0400,Test
138,CS-3428,Story,2019-09-24T15:51:29.023-0400,Documentation
137,CS-3428,Story,2019-09-24T16:28:20.874-0400,Verified
136,CS-3428,Story,2019-09-24T17:17:06.330-0400,Closed
132,CS-3424,Story,2019-09-06T11:18:42.429-0400,Documentation
130,CS-3424,Story,2019-09-06T13:08:45.377-0400,Closed
133,CS-3424,Story,2019-09-03T13:46:44.432-0400,Test
135,CS-3424,Story,2019-08-29T16:04:17.533-0400,To Do
131,CS-3424,Story,2019-09-06T11:47:40.985-0400,Verified
134,CS-3424,Story,2019-09-03T08:37:43.937-0400,Doing
129,CS-3377,Bug,2019-08-22T09:32:01.803-0400,To Do
128,CS-3377,Bug,2019-08-22T09:32:06.895-0400,Doing
115,CS-3377,Bug,2019-09-04T09:21:26.038-0400,Closed
116,CS-3377,Bug,2019-09-04T09:17:57.991-0400,Verified
117,CS-3377,Bug,2019-09-04T09:11:43.553-0400,Documentation
118,CS-3377,Bug,2019-09-04T09:11:40.405-0400,Test
119,CS-3377,Bug,2019-09-04T09:11:34.052-0400,Verified
120,CS-3377,Bug,2019-09-04T09:11:30.835-0400,Test
121,CS-3377,Bug,2019-09-04T09:11:27.817-0400,Doing
123,CS-3377,Bug,2019-08-30T09:16:51.738-0400,Test
124,CS-3377,Bug,2019-08-26T07:55:33.210-0400,Doing
125,CS-3377,Bug,2019-08-26T07:55:28.789-0400,To Do
126,CS-3377,Bug,2019-08-26T07:55:08.998-0400,Open
127,CS-3377,Bug,2019-08-22T10:53:51.472-0400,To Do
122,CS-3377,Bug,2019-09-04T09:09:42.486-0400,Blocked
110,CS-3359,Bug,2019-09-05T09:06:54.454-0400,Test
108,CS-3359,Bug,2019-09-05T14:26:36.370-0400,Closed
109,CS-3359,Bug,2019-09-05T14:20:15.528-0400,Verified
111,CS-3359,Bug,2019-09-04T11:09:42.424-0400,Doing
113,CS-3359,Bug,2019-09-03T14:57:36.707-0400,Doing
112,CS-3359,Bug,2019-09-03T15:50:19.299-0400,To Do
114,CS-3359,Bug,2019-09-03T14:57:32.751-0400,To Do
107,CS-3358,Bug,2019-09-03T14:04:31.263-0400,To Do
106,CS-3358,Bug,2019-09-03T14:04:35.585-0400,Doing
105,CS-3358,Bug,2019-09-03T14:56:53.827-0400,Test
104,CS-3358,Bug,2019-09-04T09:54:33.290-0400,Verified
103,CS-3358,Bug,2019-09-04T09:58:50.682-0400,Closed
97,CS-3214,Spike,2019-09-11T14:48:09.991-0400,Doing
94,CS-3214,Spike,2019-09-16T09:02:56.942-0400,Closed
95,CS-3214,Spike,2019-09-13T17:40:25.642-0400,Verified
96,CS-3214,Spike,2019-09-12T15:15:28.646-0400,Test
101,CS-3214,Spike,2019-08-26T10:13:30.189-0400,Doing
98,CS-3214,Spike,2019-09-11T10:49:48.717-0400,Test
100,CS-3214,Spike,2019-09-10T10:23:40.289-0400,Test
99,CS-3214,Spike,2019-09-10T17:02:32.285-0400,Doing
102,CS-3214,Spike,2019-07-26T15:28:00.674-0400,To Do
85,CS-3055,Bug,2019-09-06T10:40:04.844-0400,Doing
78,CS-3055,Bug,2019-09-13T12:44:41.670-0400,Closed
79,CS-3055,Bug,2019-09-13T11:47:03.620-0400,Verified
81,CS-3055,Bug,2019-09-09T15:59:05.352-0400,Doing
82,CS-3055,Bug,2019-09-09T11:10:49.578-0400,Test
83,CS-3055,Bug,2019-09-09T10:55:55.891-0400,Doing
84,CS-3055,Bug,2019-09-06T14:56:56.571-0400,Test
80,CS-3055,Bug,2019-09-13T08:26:07.973-0400,Test
86,CS-3055,Bug,2019-09-06T10:40:00.915-0400,To Do
88,CS-3055,Bug,2019-09-04T11:03:17.795-0400,Closed
89,CS-3055,Bug,2019-09-04T11:02:28.856-0400,Verified
90,CS-3055,Bug,2019-09-04T10:33:09.066-0400,Documentation
91,CS-3055,Bug,2019-09-03T11:17:49.000-0400,Test
92,CS-3055,Bug,2019-08-28T09:23:23.425-0400,Doing
93,CS-3055,Bug,2019-08-28T09:23:19.700-0400,To Do
87,CS-3055,Bug,2019-09-05T06:59:27.833-0400,Open
69,CS-3025,Story,2019-08-26T08:52:32.154-0400,Verified
63,CS-3025,Story,2019-09-05T16:07:27.278-0400,Closed
64,CS-3025,Story,2019-09-05T15:36:16.958-0400,Verified
65,CS-3025,Story,2019-09-05T15:21:39.372-0400,Documentation
66,CS-3025,Story,2019-08-29T09:01:39.508-0400,Test
68,CS-3025,Story,2019-08-28T13:16:26.129-0400,Test
67,CS-3025,Story,2019-08-28T13:17:03.068-0400,Doing
70,CS-3025,Story,2019-08-23T16:18:01.731-0400,Documentation
76,CS-3025,Story,2019-05-27T14:48:24.819-0400,Open
71,CS-3025,Story,2019-08-22T08:42:07.359-0400,Test
77,CS-3025,Story,2019-03-27T10:32:45.463-0400,To Do
73,CS-3025,Story,2019-08-07T10:24:18.360-0400,To Do
75,CS-3025,Story,2019-07-30T11:25:39.882-0400,To Do
74,CS-3025,Story,2019-07-30T11:25:42.151-0400,Blocked
72,CS-3025,Story,2019-08-07T10:24:23.252-0400,Doing
62,BS-435,Story,2019-09-23T11:29:28.430-0400,To Do
61,BS-435,Story,2019-09-23T11:29:30.542-0400,Doing
59,BS-435,Story,2019-09-25T14:59:22.109-0400,Documentation
58,BS-435,Story,2019-09-26T13:38:46.308-0400,Verified
57,BS-435,Story,2019-09-26T13:45:04.208-0400,Closed
60,BS-435,Story,2019-09-24T16:01:53.836-0400,Test
572,BS-427,Technical Story,2019-10-02T09:54:41.837-0400,Closed
573,BS-427,Technical Story,2019-10-02T09:49:18.376-0400,Verified
574,BS-427,Technical Story,2019-10-01T15:06:58.953-0400,Documentation
575,BS-427,Technical Story,2019-09-23T10:12:53.755-0400,Test
576,BS-427,Technical Story,2019-09-23T10:12:51.651-0400,Doing
577,BS-427,Technical Story,2019-09-23T10:12:49.278-0400,To Do
56,BS-399,Technical Story,2019-08-30T09:17:54.236-0400,To Do
55,BS-399,Technical Story,2019-08-30T09:17:58.412-0400,Doing
54,BS-399,Technical Story,2019-09-09T13:09:37.288-0400,Test
53,BS-399,Technical Story,2019-09-19T10:59:08.142-0400,Documentation
52,BS-399,Technical Story,2019-09-20T09:23:14.547-0400,Verified
51,BS-399,Technical Story,2019-09-20T09:55:51.919-0400,Closed
50,BS-398,Bug,2019-08-29T11:02:00.643-0400,To Do
49,BS-398,Bug,2019-08-29T11:02:03.839-0400,Doing
48,BS-398,Bug,2019-08-29T11:38:02.325-0400,Test
47,BS-398,Bug,2019-08-30T11:09:38.001-0400,Documentation
46,BS-398,Bug,2019-08-30T15:26:33.869-0400,Verified
45,BS-398,Bug,2019-09-09T14:28:25.914-0400,Closed
42,BS-392,Technical Story,2019-09-09T13:00:40.193-0400,Test
40,BS-392,Technical Story,2019-09-11T13:17:51.423-0400,Closed
41,BS-392,Technical Story,2019-09-10T09:13:17.663-0400,Verified
43,BS-392,Technical Story,2019-09-09T11:14:55.454-0400,Doing
44,BS-392,Technical Story,2019-09-09T11:14:51.824-0400,To Do
39,BS-382,Bug,2019-09-18T15:48:23.138-0400,To Do
38,BS-382,Bug,2019-09-18T15:48:27.979-0400,Doing
37,BS-382,Bug,2019-09-18T15:48:41.283-0400,Test
36,BS-382,Bug,2019-09-19T15:43:02.423-0400,Documentation
35,BS-382,Bug,2019-09-20T10:47:27.711-0400,Verified
34,BS-382,Bug,2019-09-23T09:28:20.835-0400,Closed
33,BS-378,Sub-task,2019-09-04T11:24:46.449-0400,To Do
32,BS-378,Sub-task,2019-09-04T11:24:57.267-0400,Doing
30,BS-378,Sub-task,2019-09-05T14:11:13.796-0400,Closed
31,BS-378,Sub-task,2019-09-05T13:47:21.246-0400,Test
28,BS-371,Bug,2019-09-09T13:30:10.048-0400,Doing
27,BS-371,Bug,2019-09-09T14:21:24.736-0400,Closed
29,BS-371,Bug,2019-09-09T13:30:08.184-0400,To Do
17,BS-334,Story,2019-09-17T08:27:54.873-0400,Closed
25,BS-334,Story,2019-09-09T13:22:59.674-0400,Doing
24,BS-334,Story,2019-09-12T13:21:26.086-0400,Test
23,BS-334,Story,2019-09-13T16:20:32.846-0400,Doing
22,BS-334,Story,2019-09-16T09:47:15.633-0400,Test
21,BS-334,Story,2019-09-16T15:50:13.833-0400,Documentation
20,BS-334,Story,2019-09-16T16:38:00.445-0400,Verified
19,BS-334,Story,2019-09-16T16:38:09.262-0400,Test
18,BS-334,Story,2019-09-16T16:38:32.453-0400,Verified
26,BS-334,Story,2019-09-09T13:22:54.836-0400,To Do
15,BS-324,Story,2019-09-11T09:39:13.704-0400,Doing
14,BS-324,Story,2019-09-19T17:49:56.286-0400,Closed
16,BS-324,Story,2019-09-10T14:16:09.731-0400,To Do
13,BS-323,Technical Story,2019-09-10T13:23:05.594-0400,To Do
12,BS-323,Technical Story,2019-09-10T13:23:09.890-0400,Doing
11,BS-323,Technical Story,2019-09-11T09:33:54.603-0400,Test
10,BS-323,Technical Story,2019-09-12T17:36:16.628-0400,Closed
6,BS-292,Story,2019-09-23T11:23:01.754-0400,Closed
9,BS-292,Story,2018-01-07T22:11:19.941-0500,Backlog
8,BS-292,Story,2018-12-03T17:10:31.482-0500,To Do
7,BS-292,Story,2019-07-08T16:49:32.539-0400,Doing
3,BS-212,Bug,2019-08-30T08:36:05.657-0400,Test
2,BS-212,Bug,2019-09-11T09:26:25.099-0400,Verified
1,BS-212,Bug,2019-09-11T10:10:42.044-0400,Closed
4,BS-212,Bug,2019-08-29T16:37:17.702-0400,Doing
5,BS-212,Bug,2019-08-29T16:37:14.523-0400,To Do
0,BS-149,Bug,2019-08-30T15:12:18.378-0400,Closed
