,remove,pm_key,pm_id,related_key,related_id,related_type,updated_time,updated_status,fix_version,labels,5.2_candidate,5.7_candidate,5.8_candidate,Cloud_JSX,Customer_Priority,Design_Implementation,Enablement,Features,JSX,JSXSquad,Milestone1,Milestone2,Perf_Lists,Performance_Squad,Platform,Platforms,Product_Performance,Product_Solutions,Q4_2019_candidate_feature,RNCloud,RN_Upgrade,Services_Priority,debugging,dep_core,installer,jira_escalated
16,0,PM-167,77041,RN-72,73254,Story,2018-01-25T11:13:46.183-0500,In Progress,[],"['JSX', 'JSXSquad', 'Milestone2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,PM-157,85448,RN-73,73255,Story,2019-07-17T10:11:04.016-0400,Closed,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0,PM-157,85448,RN-73,73255,Story,2019-07-17T09:23:43.614-0400,Verified,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0,PM-157,85448,RN-73,73255,Story,2019-07-16T16:29:51.377-0400,Documentation,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,0,PM-157,85448,RN-73,73255,Story,2019-07-16T11:09:06.829-0400,Test,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,0,PM-157,85448,RN-73,73255,Story,2019-07-16T09:30:02.004-0400,Documentation,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,0,PM-157,85448,RN-73,73255,Story,2019-07-16T09:27:19.552-0400,Test,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,0,PM-157,85448,RN-73,73255,Story,2019-07-02T13:21:06.351-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,0,PM-157,85448,RN-122,73635,Story,2019-07-25T09:21:05.051-0400,Closed,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,0,PM-157,85448,RN-122,73635,Story,2019-07-24T15:50:24.161-0400,Verified,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,0,PM-157,85448,RN-122,73635,Story,2019-07-24T15:31:41.587-0400,Documentation,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0,PM-157,85448,RN-122,73635,Story,2019-07-24T14:12:49.720-0400,Test,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0,PM-157,85448,RN-122,73635,Story,2019-07-24T09:58:34.297-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0,PM-157,85448,RN-122,73635,Story,2019-07-16T15:43:32.351-0400,Test,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0,PM-157,85448,RN-122,73635,Story,2019-06-28T09:14:44.548-0400,Doing,"[{'self': 'https://youilabs.atlassian.net/rest/api/2/version/24151', 'id': '24151', 'description': '', 'name': '5.5.0', 'archived': False, 'released': False, 'releaseDate': '2019-08-06'}]","['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,0,PM-157,85448,RN-69,73251,Story,2018-07-16T14:50:59.919-0400,To Do,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,0,PM-157,85448,RN-69,73251,Story,2018-07-11T13:39:32.178-0400,In Progress,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,0,PM-157,85448,RN-141,73928,Story,2018-03-07T08:18:21.091-0500,To Do,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,0,PM-157,85448,RN-141,73928,Story,2018-02-02T14:50:31.606-0500,Blocked,[],"['JSX', 'JSXSquad', 'Milestone2', 'jira_escalated']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
